id,CPU clock(MHZ),CPU usage(%),vedio memory(MB),GPU usage(%),memory(MB),FPS,Type
5785,1598,28,793,11,1123,10,0
5786,1422,18,785,19,1275,7,0
5787,1591,23,814,16,1174,7,0
5788,1411,27,838,5,1194,5,0
5789,1775,27,903,10,1139,4,0
5790,1009,19,904,17,1147,10,0
5791,1527,24,797,8,1219,6,0
5792,1348,18,814,17,1281,10,0
5793,1523,32,890,9,1218,8,0
5794,1017,26,877,19,1194,9,0
5795,1044,25,829,13,1191,3,0
5796,1135,27,859,16,1169,8,0
5797,1638,29,907,10,1105,5,0
5798,1356,31,849,6,1147,5,0
5799,1583,26,861,15,1173,5,0
5800,1574,19,889,9,1154,10,0
5801,1757,25,904,11,1197,10,0
5802,1435,23,809,18,1251,5,0
5803,1609,20,883,11,1267,8,0
5804,1273,25,808,7,1137,7,0
5805,1219,25,901,14,1278,3,0
5806,1123,32,894,15,1268,8,0
5807,1096,21,804,7,1220,6,0
5808,1686,30,830,12,1254,4,0
5809,1503,17,819,9,1230,9,0
5810,1478,23,805,10,1217,5,0
5811,1768,23,785,8,1239,5,0
5812,1674,33,865,14,1144,6,0
5813,1220,19,893,17,1123,8,0
5814,1546,20,820,9,1270,3,0
5815,1582,22,876,15,1252,9,0
5816,1615,19,911,10,1124,8,0
5817,1306,21,849,5,1224,7,0
5818,1014,24,843,5,1234,3,0
5819,1254,20,846,11,1270,9,0
5820,1048,23,837,17,1216,5,0
5821,1615,25,870,10,1248,7,0
5822,1655,19,800,16,1125,10,0
5823,1276,30,811,19,1222,3,0
5824,1232,31,827,16,1272,4,0
5825,1410,29,869,18,1208,8,0
5826,1661,31,785,14,1239,7,0
5827,1294,18,820,14,1198,10,0
5828,1737,31,877,12,1190,6,0
5829,1052,27,903,9,1168,9,0
5830,1115,31,839,10,1196,9,0
5831,1308,22,902,18,1280,6,0
5832,1592,22,778,12,1274,7,0
5833,1228,17,797,16,1184,9,0
5834,1322,23,827,17,1247,6,0
5835,1216,26,797,7,1119,10,0
5836,1189,32,875,11,1278,4,0
5837,1022,25,796,13,1151,3,0
5838,1631,18,830,12,1112,3,0
5839,1446,18,907,13,1127,10,0
5840,1622,29,890,7,1184,3,0
5841,1667,26,831,15,1223,5,0
5842,1607,32,862,13,1251,4,0
5843,1624,27,868,6,1203,9,0
5844,1089,20,806,19,1155,10,0
5845,1159,18,868,16,1198,3,0
5846,1245,20,875,8,1184,3,0
5847,1363,19,825,12,1136,3,0
5848,1143,31,906,9,1249,5,0
5849,1666,33,891,13,1233,8,0
5850,1140,26,905,19,1194,4,0
5851,1112,32,816,19,1150,8,0
5852,1473,24,796,12,1210,5,0
5853,1219,22,878,7,1223,6,0
5854,1220,31,784,13,1110,9,0
5855,1549,17,850,7,1244,7,0
5856,1428,27,879,15,1206,10,0
5857,1750,23,889,5,1207,3,0
5858,1334,31,823,13,1210,5,0
5859,1698,18,795,14,1159,5,0
5860,1024,21,889,16,1195,9,0
5861,1203,18,810,19,1134,3,0
5862,1312,32,860,17,1277,4,0
5863,1592,19,851,11,1230,3,0
5864,1752,30,829,9,1174,4,0
5865,1747,17,844,16,1209,6,0
5866,1384,27,852,13,1102,6,0
5867,1241,30,865,11,1209,8,0
5868,1571,23,821,7,1238,10,0
5869,1552,20,802,12,1143,8,0
5870,1544,18,786,10,1178,9,0
5871,1588,30,778,11,1211,10,0
5872,1302,19,861,6,1201,5,0
5873,1751,19,886,14,1127,3,0
5874,1401,31,884,6,1248,8,0
5875,1576,33,795,8,1133,9,0
5876,1660,31,842,8,1106,7,0
5877,1275,31,889,12,1175,6,0
5878,1361,19,855,9,1142,8,0
5879,1519,18,901,7,1125,9,0
5880,1665,30,895,5,1148,8,0
5881,1261,32,841,11,1205,6,0
5882,1393,29,878,10,1150,7,0
5883,1495,25,804,16,1152,10,0
5884,1497,28,850,12,1246,8,0
5885,1717,24,898,18,1208,8,0
5886,1275,30,797,7,1117,5,0
5887,1158,21,864,6,1175,4,0
5888,1519,27,885,17,1199,4,0
5889,1369,30,832,18,1201,9,0
5890,1302,31,827,11,1151,8,0
5891,1282,30,910,18,1228,10,0
5892,1142,32,888,13,1153,7,0
5893,1708,25,898,17,1102,3,0
5894,1505,27,910,8,1261,6,0
5895,1139,30,834,15,1165,9,0
5896,1155,20,788,14,1220,9,0
5897,1448,21,857,13,1227,8,0
5898,1397,30,894,17,1125,10,0
5899,1106,33,897,14,1211,6,0
5900,1337,22,900,18,1127,9,0
5901,1620,33,787,8,1202,10,0
5902,1572,28,810,11,1144,7,0
5903,1760,31,808,16,1143,5,0
5904,1128,26,855,5,1226,5,0
5905,1602,25,829,11,1130,6,0
5906,1379,25,828,15,1156,5,0
5907,1344,22,778,13,1201,8,0
5908,1042,28,899,15,1209,10,0
5909,1518,19,877,10,1229,3,0
5910,1355,24,823,19,1119,9,0
5911,1069,20,858,18,1139,6,0
5912,1558,28,904,9,1270,5,0
5913,1196,20,845,9,1199,3,0
5914,1407,19,815,9,1221,4,0
5915,1104,33,803,14,1242,6,0
5916,1230,25,900,9,1242,4,0
5917,1020,27,889,13,1264,9,0
5918,1162,28,782,14,1236,7,0
5919,1280,28,854,6,1149,8,0
5920,1755,23,909,18,1183,8,0
5921,1085,30,784,17,1263,7,0
5922,1685,27,816,18,1204,9,0
5923,1329,23,809,16,1215,6,0
5924,1253,22,857,7,1274,4,0
5925,1335,30,881,5,1190,9,0
5926,1393,31,828,19,1147,7,0
5927,1264,23,778,19,1192,3,0
5928,1334,31,783,18,1197,7,0
5929,1665,24,834,13,1243,9,0
5930,1442,30,795,5,1186,6,0
5931,1298,18,823,9,1135,9,0
5932,1305,32,886,15,1239,10,0
5933,1588,21,778,10,1172,8,0
5934,1637,25,867,11,1162,9,0
5935,1666,31,796,15,1204,4,0
5936,1660,29,854,12,1169,7,0
5937,1695,29,847,17,1124,7,0
5938,1467,32,781,14,1243,7,0
5939,1293,29,815,14,1170,7,0
5940,1562,24,808,11,1274,3,0
5941,1040,27,826,14,1188,3,0
5942,1385,31,852,8,1211,9,0
5943,1367,32,836,8,1142,10,0
5944,1095,32,910,16,1152,4,0
5945,1565,20,806,15,1162,4,0
5946,1351,29,839,8,1173,8,0
5947,1613,23,835,9,1271,8,0
5948,1223,23,900,19,1234,8,0
5949,1709,27,810,12,1265,9,0
5950,1298,24,861,5,1229,9,0
5951,1735,27,897,8,1212,8,0
5952,1550,33,791,11,1269,3,0
5953,1545,33,809,7,1263,5,0
5954,1256,31,851,10,1142,9,0
5955,1150,18,778,8,1174,7,0
5956,1382,23,840,19,1113,10,0
5957,1639,32,898,16,1179,7,0
5958,1115,22,803,19,1152,3,0
5959,1355,20,911,9,1205,9,0
5960,1367,20,783,11,1179,7,0
5961,1248,19,814,11,1249,7,0
5962,1670,33,780,9,1259,8,0
5963,1714,24,816,9,1123,7,0
5964,1732,31,857,7,1135,7,0
5965,1577,28,866,12,1175,8,0
5966,1360,32,840,16,1108,5,0
5967,1353,32,833,10,1202,4,0
5968,1300,23,855,15,1249,6,0
5969,1061,30,808,10,1181,7,0
5970,1602,24,860,16,1163,9,0
5971,1527,27,804,12,1139,4,0
5972,1404,29,893,12,1133,6,0
5973,1345,22,892,15,1169,3,0
5974,1633,22,795,15,1282,8,0
5975,1224,30,805,5,1224,6,0
5976,1572,18,821,10,1287,9,0
5977,1093,27,872,12,1237,10,0
5978,1477,28,886,10,1265,5,0
5979,1514,28,837,14,1249,4,0
5980,1308,23,906,15,1105,3,0
5981,1669,18,896,5,1246,10,0
5982,1339,23,822,5,1197,7,0
5983,1447,19,810,5,1183,6,0
5984,1469,29,833,5,1164,3,0
5985,1259,23,789,15,1279,8,0
5986,1158,27,850,8,1155,6,0
5987,1709,30,787,5,1122,10,0
5988,1276,23,864,12,1252,9,0
5989,1027,19,859,5,1265,6,0
5990,1129,21,893,11,1243,9,0
5991,1560,17,842,5,1281,3,0
5992,1713,32,871,16,1216,8,0
5993,1389,28,836,9,1286,10,0
5994,1303,28,814,19,1213,10,0
5995,1178,26,813,17,1177,5,0
5996,1245,18,860,10,1276,4,0
5997,1345,30,844,10,1199,8,0
5998,1167,25,899,16,1208,10,0
5999,1569,32,859,17,1275,6,0
6000,1271,31,877,19,1254,3,0
6001,1261,21,886,6,1190,7,0
6002,1208,33,792,11,1113,3,0
6003,1423,30,826,8,1168,9,0
6004,1233,17,833,19,1172,5,0
6005,1473,30,785,10,1226,3,0
6006,1193,28,850,6,1270,9,0
6007,1225,27,783,17,1244,6,0
6008,1275,21,893,7,1163,7,0
6009,1169,31,896,9,1213,6,0
6010,1041,18,821,8,1232,10,0
6011,1183,29,891,11,1217,6,0
6012,1600,26,868,8,1280,6,0
6013,1213,30,886,10,1171,10,0
6014,1689,24,830,6,1197,10,0
6015,1461,24,838,16,1284,5,0
6016,1113,31,848,13,1173,9,0
6017,1499,31,897,10,1132,4,0
6018,1310,33,881,16,1222,5,0
6019,1448,24,808,8,1233,3,0
6020,1369,26,866,6,1119,8,0
6021,1277,33,811,10,1154,10,0
6022,1069,26,824,9,1183,5,0
6023,1702,24,892,18,1141,8,0
6024,1015,18,790,19,1119,6,0
6025,1592,26,813,14,1241,4,0
6026,1464,30,891,14,1116,7,0
6027,1102,27,890,11,1259,5,0
6028,1550,26,832,10,1132,9,0
6029,1454,25,783,8,1191,10,0
6030,1218,31,786,19,1212,7,0
6031,1627,20,893,16,1208,4,0
6032,1271,23,853,13,1270,6,0
6033,1681,31,784,15,1101,4,0
6034,1644,22,859,11,1201,6,0
6035,1094,26,864,6,1142,10,0
6036,1066,24,784,11,1181,10,0
6037,1755,28,878,19,1171,6,0
6038,1772,29,848,9,1101,9,0
6039,1711,31,891,9,1145,7,0
6040,1149,26,900,16,1285,5,0
6041,1405,25,783,14,1279,4,0
6042,1282,23,881,17,1175,7,0
6043,1587,33,783,13,1218,3,0
6044,1355,17,899,14,1215,9,0
6045,1717,26,877,14,1192,5,0
6046,1639,32,843,5,1220,10,0
6047,1717,22,831,6,1133,10,0
6048,1016,27,845,12,1241,10,0
6049,1177,30,896,11,1240,6,0
6050,1084,23,877,10,1110,3,0
6051,1566,29,810,18,1253,9,0
6052,1538,31,901,5,1152,4,0
6053,1153,26,876,15,1171,5,0
6054,1773,30,779,19,1187,5,0
6055,1540,19,779,7,1261,10,0
6056,1141,22,841,5,1126,5,0
6057,1203,25,852,14,1289,8,0
6058,1451,32,894,5,1202,7,0
6059,1457,28,881,16,1193,10,0
6060,1087,27,832,10,1203,7,0
6061,1565,21,845,13,1282,8,0
6062,1733,21,871,18,1145,10,0
6063,1321,32,832,9,1197,4,0
6064,1685,22,836,14,1125,5,0
6065,1630,17,870,7,1141,10,0
6066,1686,26,814,8,1223,4,0
6067,1375,20,781,14,1163,3,0
6068,1204,33,911,6,1119,9,0
6069,1101,20,799,15,1193,7,0
6070,1129,27,878,6,1117,7,0
6071,1562,23,849,15,1280,7,0
6072,1187,21,799,6,1287,6,0
6073,1574,29,859,9,1173,5,0
6074,1472,28,802,13,1126,4,0
6075,1774,17,802,8,1218,4,0
6076,1340,23,803,19,1142,4,0
6077,1532,26,790,5,1196,5,0
6078,1392,29,783,12,1164,4,0
6079,1653,18,860,10,1187,5,0
6080,1265,21,843,14,1270,7,0
6081,1650,21,909,13,1134,9,0
6082,1401,21,896,6,1277,4,0
6083,1131,31,910,12,1118,7,0
6084,1764,27,798,19,1147,5,0
6085,1767,20,841,12,1218,7,0
6086,1373,31,845,14,1163,8,0
6087,1621,18,821,7,1166,9,0
6088,1293,25,908,9,1237,3,0
6089,1488,29,826,16,1157,6,0
6090,1260,25,820,16,1152,10,0
6091,1637,17,831,13,1135,8,0
6092,1265,20,880,13,1157,8,0
6093,1500,17,868,15,1166,8,0
6094,1055,25,784,11,1196,7,0
6095,1705,25,799,8,1125,7,0
6096,1492,21,866,8,1164,9,0
6097,1239,22,874,17,1136,6,0
6098,1449,17,793,14,1110,8,0
6099,1719,17,878,11,1226,7,0
6100,1657,26,876,11,1133,9,0
6101,1696,26,893,7,1274,7,0
6102,1637,19,854,10,1287,6,0
6103,1469,22,865,8,1225,3,0
6104,1605,21,837,8,1237,7,0
6105,1305,21,884,12,1135,7,0
6106,1618,20,837,10,1216,7,0
6107,1572,22,909,10,1252,7,0
6108,1426,17,817,10,1259,6,0
6109,1145,25,780,6,1121,6,0
6110,1372,22,849,6,1192,3,0
6111,1348,19,876,15,1213,4,0
6112,1313,32,851,6,1149,5,0
6113,1672,32,780,6,1226,5,0
6114,1482,19,783,9,1111,4,0
6115,1448,21,837,17,1164,6,0
6116,1352,20,867,19,1223,8,0
6117,1625,23,817,17,1249,5,0
6118,1585,32,820,16,1132,4,0
6119,1332,17,839,18,1139,4,0
6120,1384,17,818,12,1260,6,0
6121,1592,20,854,12,1173,7,0
6122,1725,33,849,5,1195,4,0
6123,1239,21,903,18,1230,3,0
6124,1394,28,809,6,1113,3,0
6125,1195,26,886,17,1104,3,0
6126,1547,19,880,12,1228,5,0
6127,1633,21,782,12,1139,3,0
6128,1442,28,826,10,1280,3,0
6129,1378,31,803,7,1170,7,0
6130,1188,22,874,9,1213,6,0
6131,1716,31,854,12,1151,6,0
6132,1293,30,896,13,1180,6,0
6133,1666,24,876,13,1233,9,0
6134,1016,32,785,7,1186,6,0
6135,1545,22,835,19,1102,3,0
6136,1273,20,897,13,1132,10,0
6137,1315,20,834,15,1275,4,0
6138,1456,19,888,10,1212,3,0
6139,1500,27,813,13,1164,4,0
6140,1059,26,888,5,1161,10,0
6141,1730,29,905,5,1262,5,0
6142,1056,27,824,6,1237,8,0
6143,1290,21,849,10,1139,8,0
6144,1099,21,785,10,1229,7,0
6145,1249,24,889,5,1194,6,0
6146,1648,30,854,11,1150,5,0
6147,1091,23,853,15,1162,5,0
6148,1676,18,860,14,1235,4,0
6149,1192,28,891,17,1278,10,0
6150,1438,22,898,7,1120,8,0
6151,1650,28,844,13,1111,3,0
6152,1259,28,903,18,1236,8,0
6153,1679,31,910,7,1108,3,0
6154,1521,20,909,5,1235,5,0
6155,1771,17,782,9,1126,6,0
6156,1607,23,845,17,1190,9,0
6157,1547,26,899,7,1195,3,0
6158,1261,20,844,9,1284,7,0
6159,1197,32,883,13,1251,4,0
6160,1407,23,866,18,1160,3,0
6161,1624,22,839,18,1200,7,0
6162,1054,22,889,18,1113,7,0
6163,1748,29,856,19,1200,9,0
6164,1275,33,795,8,1126,8,0
6165,1159,20,806,10,1168,6,0
6166,1212,22,866,11,1246,4,0
6167,1451,22,877,14,1240,5,0
6168,1450,19,819,12,1164,6,0
6169,1228,23,809,11,1130,7,0
6170,1481,33,872,6,1147,3,0
6171,1081,17,833,17,1188,9,0
6172,1461,23,884,19,1245,9,0
6173,1458,24,881,6,1111,5,0
6174,1509,20,780,13,1168,8,0
6175,1325,22,863,8,1257,4,0
6176,1538,21,827,7,1219,4,0
6177,1516,32,810,19,1243,6,0
6178,1483,24,825,10,1106,6,0
6179,1140,25,796,14,1206,3,0
6180,1048,26,819,19,1168,10,0
6181,1288,21,862,13,1270,8,0
6182,1079,28,800,16,1107,6,0
6183,1148,24,807,5,1101,7,0
6184,1030,26,868,19,1179,7,0
6185,1238,20,850,15,1281,3,0
6186,1196,24,837,13,1257,4,0
6187,1289,28,876,19,1256,8,0
6188,1715,28,802,19,1268,10,0
6189,1723,33,828,18,1155,9,0
6190,1003,23,882,6,1176,5,0
6191,1548,24,825,5,1220,6,0
6192,1031,17,801,18,1123,9,0
6193,1774,27,877,8,1147,5,0
6194,1187,17,908,14,1229,6,0
6195,1542,19,838,6,1182,3,0
6196,1150,20,811,8,1190,3,0
6197,1316,25,805,6,1288,3,0
6198,1111,19,900,11,1119,7,0
6199,1526,31,912,9,1275,10,0
6200,1056,31,843,13,1238,8,0
6201,1560,26,890,12,1188,5,0
6202,1079,17,792,5,1122,6,0
6203,1299,17,894,10,1207,3,0
6204,1419,24,860,17,1266,9,0
6205,1590,33,860,9,1166,5,0
6206,1754,31,850,6,1261,8,0
6207,1623,21,900,13,1272,7,0
6208,1017,31,896,9,1120,7,0
6209,1438,28,890,18,1179,4,0
6210,1284,28,808,18,1152,7,0
6211,1645,31,818,10,1126,5,0
6212,1294,29,876,14,1230,4,0
6213,1311,19,841,11,1109,7,0
6214,1269,23,862,9,1124,6,0
6215,1712,19,888,6,1194,9,0
6216,1191,23,899,16,1138,4,0
6217,1682,27,838,5,1207,3,0
6218,1327,17,862,15,1101,10,0
6219,1316,32,868,17,1231,9,0
6220,1113,23,845,5,1269,10,0
6221,1644,23,785,19,1249,8,0
6222,1054,19,818,14,1137,9,0
6223,1119,23,839,18,1134,9,0
6224,1701,23,864,6,1175,3,0
6225,1668,25,902,13,1186,10,0
6226,1483,20,843,19,1124,9,0
6227,1058,22,793,12,1237,7,0
6228,1543,21,813,6,1197,3,0
6229,1618,24,885,16,1100,9,0
6230,1337,23,811,9,1136,6,0
6231,1290,33,834,14,1239,3,0
6232,1051,28,811,5,1119,5,0
6233,1320,25,844,19,1218,5,0
6234,1050,17,897,12,1143,10,0
6235,1047,23,804,18,1160,10,0
6236,1756,26,894,14,1119,3,0
6237,1224,25,881,11,1216,3,0
6238,1675,32,798,15,1117,5,0
6239,1189,19,824,18,1244,8,0
6240,1640,31,820,10,1180,5,0
6241,1028,18,833,9,1243,3,0
6242,1064,21,778,14,1149,4,0
6243,1449,17,785,9,1220,9,0
6244,1770,31,800,10,1161,6,0
6245,1197,23,908,9,1202,4,0
6246,1763,22,875,17,1176,8,0
6247,1700,18,875,19,1261,4,0
6248,1115,22,815,6,1264,6,0
6249,1348,31,890,7,1272,10,0
6250,1745,21,798,9,1270,5,0
6251,1420,30,788,11,1254,3,0
6252,1675,29,821,12,1179,9,0
6253,1313,24,815,12,1157,6,0
6254,1595,18,895,14,1165,7,0
6255,1676,21,898,19,1111,10,0
6256,1276,19,837,13,1191,4,0
6257,1392,20,788,13,1147,3,0
6258,1709,33,819,8,1175,9,0
6259,1180,29,901,10,1147,3,0
6260,1011,30,790,17,1145,8,0
6261,1483,31,860,13,1262,5,0
6262,1721,32,840,15,1220,7,0
6263,1734,28,907,8,1132,3,0
6264,1032,31,794,9,1217,8,0
6265,1496,32,827,15,1267,7,0
6266,1265,29,815,18,1156,8,0
6267,1694,23,804,18,1180,4,0
6268,1771,24,796,6,1105,3,0
6269,1375,27,902,15,1245,6,0
6270,1469,22,878,19,1132,10,0
6271,1110,32,910,15,1241,5,0
6272,1573,22,867,13,1281,10,0
6273,1634,19,842,11,1157,4,0
6274,1140,23,895,12,1105,10,0
6275,1051,20,826,12,1220,8,0
6276,1634,32,810,7,1251,4,0
6277,1648,30,895,17,1101,6,0
6278,1481,26,822,14,1190,4,0
6279,1639,25,839,12,1107,7,0
6280,1524,32,872,7,1178,8,0
6281,1072,30,860,10,1120,4,0
6282,1196,25,857,13,1208,8,0
6283,1207,26,910,13,1248,9,0
6284,1008,17,900,16,1100,7,0
6285,1535,28,836,11,1141,3,0
6286,1353,29,863,11,1166,6,0
6287,1661,19,911,12,1111,5,0
6288,1693,22,778,14,1191,9,0
6289,1062,25,884,15,1185,5,0
6290,1061,19,797,13,1233,3,0
6291,1432,33,866,13,1121,6,0
6292,1317,24,868,8,1259,9,0
6293,1277,22,792,12,1164,6,0
6294,1021,21,911,13,1156,8,0
6295,1695,22,888,5,1143,3,0
6296,1405,24,900,5,1118,10,0
6297,1230,29,783,16,1239,9,0
6298,1364,28,857,16,1250,7,0
6299,1722,25,912,12,1239,6,0
6300,1313,29,781,15,1108,7,0
6301,1737,20,910,12,1141,9,0
6302,1041,23,863,9,1195,3,0
6303,1242,24,827,6,1108,4,0
6304,1373,29,909,12,1199,10,0
6305,1569,33,886,15,1247,8,0
6306,1398,18,890,17,1139,8,0
6307,1209,28,872,15,1252,3,0
6308,1265,28,854,14,1110,3,0
6309,1492,31,861,17,1279,8,0
6310,1380,31,782,7,1198,10,0
6311,1585,22,862,11,1235,7,0
6312,1648,31,812,5,1248,5,0
6313,1219,32,817,5,1137,3,0
6314,1706,31,833,18,1193,5,0
6315,1139,17,779,19,1285,4,0
6316,1604,33,867,15,1215,9,0
6317,1765,19,819,13,1209,3,0
6318,1436,18,796,11,1219,9,0
6319,1375,23,829,9,1170,8,0
6320,1124,27,869,17,1101,3,0
6321,1395,19,833,14,1217,9,0
6322,1243,17,853,6,1281,8,0
6323,1635,26,781,6,1196,6,0
6324,1470,27,895,12,1255,3,0
6325,1663,29,880,19,1239,4,0
6326,1685,18,890,18,1283,6,0
6327,1557,17,833,16,1111,7,0
6328,1006,17,902,17,1288,10,0
6329,1089,20,861,13,1213,9,0
6330,1569,33,860,12,1166,10,0
6331,1622,17,782,10,1156,10,0
6332,1653,28,903,7,1274,5,0
6333,1101,25,875,15,1206,5,0
6334,1375,26,890,12,1123,7,0
6335,1495,26,858,11,1258,7,0
6336,1611,33,840,17,1104,10,0
6337,1730,32,812,18,1274,8,0
6338,1368,20,801,11,1228,5,0
6339,1277,25,831,5,1132,7,0
6340,1259,22,847,6,1147,4,0
6341,1626,21,810,5,1103,10,0
6342,1311,29,817,16,1180,5,0
6343,1521,32,778,11,1272,10,0
6344,1684,27,795,17,1229,8,0
6345,1109,24,880,9,1192,7,0
6346,1714,21,907,18,1134,8,0
6347,1582,21,912,16,1250,9,0
6348,1295,24,783,8,1176,10,0
6349,1419,26,812,14,1140,4,0
6350,1059,24,829,12,1136,4,0
6351,1562,32,901,5,1224,9,0
6352,1008,25,813,5,1245,9,0
6353,1248,31,882,13,1212,10,0
6354,1221,21,858,10,1103,9,0
6355,1663,31,872,13,1186,5,0
6356,1093,33,908,11,1126,3,0
6357,1602,28,835,14,1274,10,0
6358,1188,28,791,6,1101,5,0
6359,1201,27,839,17,1261,3,0
6360,1263,20,781,7,1141,5,0
6361,1400,23,814,19,1281,3,0
6362,1646,30,786,14,1161,10,0
6363,1434,26,809,14,1104,6,0
6364,1557,18,858,7,1162,9,0
6365,1097,28,801,17,1246,10,0
6366,1631,20,784,8,1216,3,0
6367,1318,28,857,19,1202,9,0
6368,1344,21,875,17,1192,6,0
6369,1471,21,820,15,1247,3,0
6370,1099,22,847,11,1238,8,0
6371,1005,28,808,12,1131,7,0
6372,1331,18,878,8,1176,8,0
6373,1703,20,872,19,1121,6,0
6374,1394,33,867,16,1232,7,0
6375,1280,17,880,17,1148,9,0
6376,1027,31,880,16,1109,10,0
6377,1279,24,803,19,1285,10,0
6378,1755,25,810,7,1128,5,0
6379,1543,33,904,11,1208,9,0
6380,1136,27,853,17,1244,7,0
6381,1124,33,861,14,1265,8,0
6382,1376,26,781,13,1259,3,0
6383,1643,18,863,7,1171,3,0
6384,1159,27,887,7,1195,4,0
6385,1184,33,898,6,1197,3,0
6386,1181,31,817,19,1161,5,0
6387,1542,24,781,7,1190,6,0
6388,1689,20,833,10,1191,9,0
6389,1186,27,884,10,1271,6,0
6390,1441,22,896,7,1189,4,0
6391,1699,30,848,16,1200,8,0
6392,1532,29,901,19,1223,7,0
6393,1509,22,898,10,1164,10,0
6394,1519,33,843,8,1136,4,0
6395,1032,31,874,17,1169,8,0
6396,1736,33,909,10,1100,4,0
6397,1141,30,891,7,1127,9,0
6398,1126,18,902,8,1152,5,0
6399,1755,23,817,17,1220,5,0
6400,1107,31,886,9,1177,8,0
6401,1603,30,805,14,1161,5,0
6402,1546,28,911,11,1118,9,0
6403,1654,29,806,16,1238,3,0
6404,1020,30,895,16,1172,10,0
6405,1201,30,879,12,1104,8,0
6406,1370,31,813,14,1104,7,0
6407,1148,28,886,6,1269,9,0
6408,1744,21,807,19,1224,6,0
6409,1373,25,854,6,1216,4,0
6410,1689,32,877,14,1102,8,0
6411,1541,18,797,11,1171,8,0
6412,1748,33,813,13,1178,7,0
6413,1039,24,801,12,1269,7,0
6414,1172,17,783,9,1142,7,0
6415,1760,19,821,17,1106,9,0
6416,1337,23,813,18,1104,3,0
6417,1124,24,830,18,1199,9,0
6418,1697,25,909,6,1195,5,0
6419,1212,18,899,19,1147,9,0
6420,1249,20,875,15,1289,5,0
6421,1219,30,859,11,1177,4,0
6422,1678,19,851,9,1174,5,0
6423,1716,20,842,17,1159,10,0
6424,1415,31,807,10,1217,5,0
6425,1026,26,876,14,1287,10,0
6426,1263,31,880,14,1155,7,0
6427,1162,30,893,13,1102,5,0
6428,1348,20,895,15,1108,3,0
6429,1723,20,826,12,1181,7,0
6430,1602,32,883,11,1208,6,0
6431,1486,20,794,7,1193,3,0
6432,1185,20,873,9,1157,7,0
6433,1727,17,863,9,1289,7,0
6434,1566,30,906,16,1201,10,0
6435,1108,26,880,17,1217,6,0
6436,1668,33,906,17,1137,4,0
6437,1623,25,800,5,1212,5,0
6438,1128,27,883,6,1255,6,0
6439,1509,32,804,11,1208,7,0
6440,1707,23,826,7,1228,10,0
6441,1612,23,836,7,1187,3,0
6442,1140,27,881,5,1163,10,0
6443,1093,24,904,15,1284,4,0
6444,1472,23,874,9,1101,4,0
6445,1173,21,902,13,1152,8,0
6446,1518,30,801,9,1179,5,0
6447,1732,29,848,5,1190,5,0
6448,1293,27,802,18,1264,6,0
6449,1435,27,883,19,1226,10,0
6450,1107,22,855,7,1126,7,0
6451,1757,33,833,9,1283,9,0
6452,1063,21,813,14,1144,7,0
6453,1327,25,900,19,1107,6,0
6454,1656,20,832,11,1119,8,0
6455,1131,33,806,18,1210,6,0
6456,1312,19,840,13,1192,9,0
6457,1198,27,901,17,1261,8,0
6458,1759,33,912,16,1227,3,0
6459,1710,30,853,10,1206,9,0
6460,1544,31,911,6,1191,8,0
6461,1488,21,852,10,1265,9,0
6462,1696,27,817,17,1196,9,0
6463,1571,18,905,17,1204,4,0
6464,1736,24,834,12,1145,6,0
6465,1188,33,800,14,1210,7,0
6466,1511,31,813,14,1176,7,0
6467,1746,22,868,14,1122,9,0
6468,1190,33,791,19,1120,7,0
6469,1102,22,885,11,1136,7,0
6470,1211,31,866,13,1106,5,0
6471,1505,21,837,6,1184,4,0
6472,1014,26,896,11,1131,4,0
6473,1236,30,878,16,1254,9,0
6474,1629,19,901,9,1188,4,0
6475,1396,26,835,7,1177,8,0
6476,1069,21,838,14,1147,4,0
6477,1369,29,843,9,1218,7,0
6478,1129,33,795,18,1200,9,0
6479,1201,28,791,16,1194,7,0
6480,1656,27,832,18,1230,7,0
6481,1037,18,850,13,1270,9,0
6482,1694,28,808,6,1275,8,0
6483,1030,29,823,19,1218,8,0
6484,1279,19,904,6,1111,6,0
6485,1052,23,839,5,1216,9,0
6486,1134,25,835,16,1146,3,0
6487,1111,26,881,8,1121,3,0
6488,1093,33,899,9,1269,8,0
6489,1007,33,844,18,1145,3,0
6490,1619,27,787,6,1243,8,0
6491,1289,23,877,15,1279,3,0
6492,1502,17,800,13,1281,6,0
6493,1649,25,787,9,1198,3,0
6494,1587,28,880,18,1131,5,0
6495,1745,29,793,16,1213,6,0
6496,1364,23,840,14,1244,6,0
6497,1600,18,801,7,1183,9,0
6498,1363,20,803,12,1177,3,0
6499,1234,18,904,19,1114,9,0
6500,1078,32,792,19,1285,4,0
6501,1252,33,907,9,1283,3,0
6502,1339,19,819,18,1253,9,0
6503,1422,28,793,19,1147,3,0
6504,1224,31,850,14,1163,4,0
6505,1613,29,833,10,1132,4,0
6506,1100,33,802,9,1109,9,0
6507,1653,22,797,18,1168,9,0
6508,1700,26,872,5,1161,3,0
6509,1344,22,898,19,1255,10,0
6510,1036,28,850,16,1120,10,0
6511,1618,22,783,14,1234,6,0
6512,1146,29,798,14,1153,8,0
6513,1565,26,868,19,1196,6,0
6514,1020,31,838,8,1201,3,0
6515,1026,27,806,8,1204,10,0
6516,1320,18,901,10,1121,3,0
6517,1148,28,830,16,1257,10,0
6518,1192,18,807,12,1165,7,0
